Branch Id,Funds Paid
BRC-577934f5-f781-4e1f-88b2-48b1458c47e0,4.77
BRC-2d047a52-d2d0-4af0-88d4-f60cad1e613c,18.84
BRC-14529809-f882-4603-aef1-dd0a3396c148,6.56
BRC-5a6fd430-c093-4ed9-ad8b-3ad2d25f4f8e,12.37
BRC-94dddc86-cf93-4d41-b082-363d23a21e00,8.83
BRC-55ed5842-adff-441c-b242-b657e7d69a5a,9.37
BRC-48d5e702-c481-474f-a8fa-0efead047955,3.4
BRC-a4150398-52f2-4797-b0af-26d88b30cf39,10.71
BRC-c18ce67b-a514-41d7-9626-9fb6c93eb385,8.58
BRC-6bc356d6-e508-4b82-9801-8129878dabe2,13.53
BRC-5713fc98-f3fe-4a69-b9f2-f29ab079b917,19.2
BRC-b932844f-34c1-47e5-b3a8-5cf78c321d65,9.64
BRC-71600c03-f7fd-4c35-a963-1fe56c820825,5.16
BRC-5a32e859-e91a-490c-b4f2-bce67695f30c,10.93
